home_team,away_team,home_score,away_score,tournament,difference
Portugal,Italy,4,1,Friendly,3
Romania,Turkey,4,2,Friendly,2
Uganda,Kenya,4,0,Friendly,4
Hungary,Czechoslovakia,2,0,Central European International Cup,2
Netherlands,Denmark,2,0,Friendly,2
Austria,Yugoslavia,3,0,Friendly,3
Yugoslavia,Romania,3,1,Friendly,2
France,Czechoslovakia,0,2,Friendly,2
France,England,1,5,Friendly,4
Belgium,England,1,3,Friendly,2
Finland,Norway,0,6,Friendly,6
Sweden,Norway,6,1,Nordic Championship,5
Latvia,Sweden,0,4,Friendly,4
Latvia,Lithuania,3,0,Baltic Cup,3
Estonia,Lithuania,6,0,Baltic Cup,6
Paraguay,Uruguay,3,1,Friendly,2
Belarus,Switzerland,6,3,Friendly,3
Belarus,Ukraine,2,6,Friendly,4
Czechoslovakia,Hungary,6,1,Friendly,5
Norway,Germany,0,2,Friendly,2
Sweden,Germany,2,0,Friendly,2
Austria,Hungary,5,1,Central European International Cup,4
Denmark,Sweden,3,1,Nordic Championship,2
Scotland,Wales,4,2,British Home Championship,2
Austria,Switzerland,2,0,Central European International Cup,2
Czechoslovakia,Yugoslavia,7,1,Friendly,6
Hungary,Switzerland,3,1,Central European International Cup,2
El Salvador,Honduras,5,0,Friendly,5
Germany,Switzerland,7,1,Friendly,6
Northern Ireland,Scotland,3,7,British Home Championship,4
France,Hungary,3,0,Friendly,3
Italy,Czechoslovakia,4,2,Central European International Cup,2
Spain,Portugal,5,0,Friendly,5
France,Portugal,2,0,Friendly,2
Austria,Italy,3,0,Central European International Cup,3
Spain,France,8,1,Friendly,7
Barbados,Trinidad and Tobago,3,0,Friendly,3
Romania,Bulgaria,3,0,Friendly,3
Barbados,Trinidad and Tobago,2,0,Friendly,2
Republic of Ireland,Belgium,4,0,Friendly,4
El Salvador,Nicaragua,9,0,Friendly,9
Belgium,Netherlands,3,1,Friendly,2
Switzerland,Czechoslovakia,1,4,Central European International Cup,3
France,England,1,4,Friendly,3
Belgium,England,1,5,Friendly,4
Kenya,Uganda,3,5,Friendly,2
France,Yugoslavia,1,3,Friendly,2
